tconst;title
tt0096438;Who Framed Roger Rabbit (1988)
tt0096754;The Abyss (1989)
tt0096969;Born on the Fourth of July (1989)
tt0097428;Ghostbusters II (1989)
tt0097523;Honey, I Shrunk the Kids (1989)
tt0097733;Lethal Weapon 2 (1989)
tt0097958;National Lampoon's Christmas Vacation (1989)
tt0098439;Tango & Cash (1989)
tt0099810;The Hunt for Red October (1990)
tt0099938;Kindergarten Cop (1990)
tt0100157;Misery (1990)
tt0101272;The Addams Family (1991)
tt0101410;Barton Fink (1991)
tt0102059;Hot Shots! (1991)
tt0102138;JFK (1991)
tt0102510;The Naked Gun 2½: The Smell of Fear (1991)
tt0102685;Point Break (1991)
tt0102798;Robin Hood: Prince of Thieves (1991)
tt0103074;Thelma & Louise (1991)
tt0103772;Basic Instinct (1992)
tt0103855;The Bodyguard (1992)
tt0104070;Death Becomes Her (1992)
tt0104714;Lethal Weapon 3 (1992)
tt0105112;Patriot Games (1992)
tt0105793;Wayne's World (1992)
tt0106582;Cliffhanger (1993)
tt0106697;Demolition Man (1993)
tt0106856;Falling Down (1993)
tt0106918;The Firm (1993)
tt0107362;Last Action Hero (1993)
tt0107977;Robin Hood: Men in Tights (1993)
tt0108160;Sleepless in Seattle (1993)
tt0109707;Ed Wood (1994)
tt0109831;Four Weddings and a Funeral (1994)
tt0110478;Maverick (1994)
tt0110622;Naked Gun 33 1/3: The Final Insult (1994)
tt0111282;Stargate (1994)
tt0112431;Babe (1995)
tt0112697;Clueless (1995)
tt0112851;Desperado (1995)
tt0113492;Judge Dredd (1995)
tt0114069;Outbreak (1995)
tt0114898;Waterworld (1995)
tt0115798;The Cable Guy (1996)
tt0116213;Eraser (1996)
tt0117381;Primal Fear (1996)
tt0117438;Ransom (1996)
tt0117705;Space Jam (1996)
tt0117731;Star Trek: First Contact (1996)
tt0117913;A Time to Kill (1996)
tt0117998;Twister (1996)
tt0118571;Air Force One (1997)
tt0118842;Chasing Amy (1997)
tt0118883;Conspiracy Theory (1997)
tt0119081;Event Horizon (1997)
tt0119345;I Know What You Did Last Summer (1997)
tt0119395;The Jackal (1997)
tt0119738;My Best Friend's Wedding (1997)
tt0120082;Scream 2 (1997)
tt0120184;Sphere (1998)
tt0120188;Three Kings (1999)
tt0120347;Tomorrow Never Dies (1997)
tt0120484;The Waterboy (1998)
tt0120587;Antz (1998)
tt0120647;Deep Impact (1998)
tt0120681;From Hell (2001)
tt0120685;Godzilla (1998)
tt0120744;The Man in the Iron Mask (1998)
tt0120746;The Mask of Zorro (1998)
tt0120768;The Negotiator (1998)
tt0120783;The Parent Trap (1998)
tt0120789;Pleasantville (1998)
tt0120863;The Thin Red Line (1998)
tt0120873;U.S. Marshals (1998)
tt0120888;The Wedding Singer (1998)
tt0120889;What Dreams May Come (1998)
tt0120890;Wild Things (1998)
tt0120891;Wild Wild West (1999)
tt0122151;Lethal Weapon 4 (1998)
tt0122690;Ronin (1998)
tt0122933;Analyze This (1999)
tt0128445;Rushmore (1998)
tt0129167;The Iron Giant (1999)
tt0133240;Treasure Planet (2002)
tt0133751;The Faculty (1998)
tt0134084;Scream 3 (2000)
tt0134119;The Talented Mr. Ripley (1999)
tt0137494;Entrapment (1999)
tt0138704;Pi (1998)
tt0139134;Cruel Intentions (1999)
tt0142688;The Ninth Gate (1999)
tt0146882;High Fidelity (2000)
tt0149261;Deep Blue Sea (1999)
tt0159097;The Virgin Suicides (1999)
tt0159365;Cold Mountain (2003)
tt0160127;Charlie's Angels (2000)
tt0161081;What Lies Beneath (2000)
tt0164052;Hollow Man (2000)
tt0164912;Stuart Little (1999)
tt0177789;Galaxy Quest (1999)
tt0177971;The Perfect Storm (2000)
tt0183790;A Knight's Tale (2001)
tt0184894;Shanghai Noon (2000)
tt0190138;The Whole Nine Yards (2000)
tt0195685;Erin Brockovich (2000)
tt0200550;Coyote Ugly (2000)
tt0203019;Men of Honor (2000)
tt0215129;Road Trip (2000)
tt0216216;The 6th Day (2000)
tt0227445;The Score (2001)
tt0230030;Bedazzled (2000)
tt0236493;The Mexican (2001)
tt0240890;Serendipity (2001)
tt0242423;Dude, Where's My Car? (2000)
tt0247745;Super Troopers (2001)
tt0250494;Legally Blonde (2001)
tt0250687;Rat Race (2001)
tt0251075;Evolution (2001)
tt0253556;Reign of Fire (2002)
tt0256380;Shallow Hal (2001)
tt0256415;Sweet Home Alabama (2002)
tt0257076;S.W.A.T. (2003)
tt0257106;Scary Movie 2 (2001)
tt0257360;About Schmidt (2002)
tt0261392;Jay and Silent Bob Strike Back (2001)
tt0266987;Spy Game (2001)
tt0268126;Adaptation. (2002)
tt0272338;Punch-Drunk Love (2002)
tt0274166;Johnny English (2003)
tt0277371;Not Another Teen Movie (2001)
tt0277434;We Were Soldiers (2002)
tt0280590;Mr. Deeds (2002)
tt0283111;National Lampoon's Van Wilder (2002)
tt0285823;Once Upon a Time in Mexico (2003)
tt0286499;Bend It Like Beckham (2002)
tt0289992;The Life of David Gale (2003)
tt0295701;xXx (2002)
tt0301357;Good Bye Lenin! (2003)
tt0306047;Scary Movie 3 (2003)
tt0307987;Bad Santa (2003)
tt0311429;The League of Extraordinary Gentlemen (2003)
tt0325805;Matchstick Men (2003)
tt0327084;Over the Hedge (2006)
tt0335245;The Ladykillers (2004)
tt0335438;Starsky & Hutch (2004)
tt0338337;Paycheck (2003)
tt0340163;Hostage (2005)
tt0342258;Unleashed (2005)
tt0343135;Along Came Polly (2004)
tt0343737;The Good Shepherd (2006)
tt0349683;King Arthur (2004)
tt0350258;Ray (2004)
tt0355295;The Brothers Grimm (2005)
tt0358082;Robots (2005)
tt0362270;The Life Aquatic with Steve Zissou (2004)
tt0363988;Secret Window (2004)
tt0365737;Syriana (2005)
tt0366548;Happy Feet (2006)
tt0369441;Fun with Dick and Jane (2005)
tt0372588;Team America: World Police (2004)
tt0373074;Kung Fu Hustle (2004)
tt0373926;The Interpreter (2005)
tt0375063;Sideways (2004)
tt0380510;The Lovely Bones (2009)
tt0385752;The Golden Compass (2007)
tt0387131;The Constant Gardener (2005)
tt0387808;Idiocracy (2006)
tt0389790;Bee Movie (2007)
tt0390521;Super Size Me (2004)
tt0393109;Brick (2005)
tt0408790;Flightplan (2005)
tt0412019;Broken Flowers (2005)
tt0415306;Talladega Nights: The Ballad of Ricky Bobby (2006)
tt0418689;Flags of Our Fathers (2006)
tt0418763;Jarhead (2005)
tt0421239;Red Eye (2005)
tt0424136;Hard Candy (2005)
tt0430105;Four Brothers (2005)
tt0435705;Next (2007)
tt0445922;Across the Universe (2007)
tt0445934;Blades of Glory (2007)
tt0450232;16 Blocks (2006)
tt0452637;Lady in the Water (2006)
tt0452702;Vacancy (2007)
tt0458481;Sin City: A Dame to Kill For (2014)
tt0465538;Michael Clayton (2007)
tt0465580;Push (2009)
tt0465602;Shoot 'Em Up (2007)
tt0468492;The Host (2006)
tt0471042;Tower Heist (2011)
tt0472062;Charlie Wilson's War (2007)
tt0473705;State of Play (2009)
tt0475290;Hail, Caesar! (2016)
tt0477302;Extremely Loud & Incredibly Close (2011)
tt0480242;Dan in Real Life (2007)
tt0486946;Wild Hogs (2007)
tt0490215;Silence (2016)
tt0780571;Mr. Brooks (2007)
tt0790686;Mirrors (2008)
tt0790736;R.I.P.D. (2013)
tt0795368;Death at a Funeral (2007)
tt0804497;It's Kind of a Funny Story (2010)
tt0805564;Lars and the Real Girl (2007)
tt0814255;Percy Jackson & the Olympians: The Lightning Thief (2010)
tt0838221;The Darjeeling Limited (2007)
tt0892782;Monsters vs. Aliens (2009)
tt0918927;Doubt (2008)
tt0918940;The Legend of Tarzan (2016)
tt0938283;The Last Airbender (2010)
tt0947810;Green Zone (2010)
tt0990407;The Green Hornet (2011)
tt1013743;Knight and Day (2010)
tt1013753;Milk (2008)
tt1027718;Wall Street: Money Never Sleeps (2010)
tt1054606;The Imaginarium of Doctor Parnassus (2009)
tt1058017;The Invention of Lying (2009)
tt1059786;Eagle Eye (2008)
tt1109624;Paddington (2014)
tt1114740;Paul Blart: Mall Cop (2009)
tt1142977;Frankenweenie (2012)
tt1205537;Jack Ryan: Shadow Recruit (2014)
tt1206543;Out of the Furnace (2013)
tt1216475;Cars 2 (2011)
tt1228987;Let Me In (2010)
tt1229340;Anchorman 2: The Legend Continues (2013)
tt1234548;The Men Who Stare at Goats (2009)
tt1267297;Hercules (2014)
tt1279935;Date Night (2010)
tt1307068;Seeking a Friend for the End of the World (2012)
tt1355683;Black Mass (2015)
tt1386932;Ip Man 2 (2010)
tt1389072;Downsizing (2017)
tt1446192;Rise of the Guardians (2012)
tt1469304;Baywatch (2017)
tt1488555;The Change-Up (2011)
tt1488606;Triple Frontier (2019)
tt1489889;Central Intelligence (2016)
tt1527186;Melancholia (2011)
tt1547234;Premium Rush (2012)
tt1560747;The Master (2012)
tt1568911;War Horse (2011)
tt1590193;The Commuter (2018)
tt1592525;Lockout (2012)
tt1611224;Abraham Lincoln: Vampire Hunter (2012)
tt1616195;J. Edgar (2011)
tt1617661;Jupiter Ascending (2015)
tt1628841;Independence Day: Resurgence (2016)
tt1648190;The Dark Tower (2017)
tt1700841;Sausage Party (2016)
tt1714206;The Spectacular Now (2013)
tt1821694;RED 2 (2013)
tt1854564;Percy Jackson: Sea of Monsters (2013)
tt1935859;Miss Peregrine's Home for Peculiar Children (2016)
tt1964418;Tomorrowland (2015)
tt1979388;The Good Dinosaur (2015)
tt2024432;Identity Thief (2013)
tt2034800;The Great Wall (2016)
tt2042568;Inside Llewyn Davis (2013)
tt2080374;Steve Jobs (2015)
tt2140373;Saving Mr. Banks (2013)
tt2170439;Horrible Bosses 2 (2014)
tt2177771;The Monuments Men (2014)
tt2231461;Rampage (2018)
tt2239822;Valerian and the City of a Thousand Planets (2017)
tt2241351;Money Monster (2016)
tt2283336;Men in Black: International (2019)
tt2333784;The Expendables 3 (2014)
tt2345759;The Mummy (2017)
tt2381111;Brooklyn (2015)
tt2381991;The Huntsman: Winter's War (2016)
tt2404311;The Family (2013)
tt2404463;The Heat (2013)
tt2446042;Taken 3 (2014)
tt2557478;Pacific Rim: Uprising (2018)
tt2709768;The Secret Life of Pets (2016)
tt2854926;Tag (2018)
tt2935510;Ad Astra (2019)
tt3062096;Inferno (2016)
tt3300542;London Has Fallen (2016)
tt3371366;Transformers: The Last Knight (2017)
tt3393786;Jack Reacher: Never Go Back (2016)
tt3469046;Despicable Me 3 (2017)
tt3470600;Sing (2016)
tt3531824;Nerve (2016)
tt3532216;American Made (2017)
tt3569230;Legend (2015)
tt3717490;Power Rangers (2017)
tt3766354;The Equalizer 2 (2018)
tt3874544;The Boss Baby (2017)
tt3967856;Okja (2017)
tt4052882;The Shallows (2016)
tt4116284;The Lego Batman Movie (2017)
tt4276820;The Founder (2016)
tt4302938;Kubo and the Two Strings (2016)
tt4701182;Bumblebee (2018)
tt5164214;Ocean's 8 (2018)
tt5439796;Logan Lucky (2017)
tt5462602;The Big Sick (2017)
tt5519340;Bright (2017)
tt5758778;Skyscraper (2018)
tt5848272;Ralph Breaks the Internet (2018)
tt6155172;Roma (2018)
tt6266538;Vice (2018)
tt6412452;The Ballad of Buster Scruggs (2018)
tt6806448;Fast & Furious Presents: Hobbs & Shaw (2019)
tt7040874;A Simple Favor (2018)
tt8106534;6 Underground (2019)
tt8404614;The Two Popes (2019)
